Timestamp,PreprocessMs,InferenceMs,PostprocessMs,TotalMs
2026-06-07 16:59:57.584,4.707,14.021,1.498,20.226
2026-06-07 16:59:57.628,4.926,14.646,0.810,20.383
2026-06-07 16:59:57.677,4.702,14.344,1.657,20.704
2026-06-07 16:59:57.711,4.766,14.128,1.458,20.352
2026-06-07 16:59:57.756,6.148,14.805,0.866,21.820
2026-06-07 16:59:57.805,4.738,14.280,1.467,20.485
2026-06-07 16:59:57.853,4.793,14.109,1.458,20.360
2026-06-07 16:59:57.902,4.863,15.389,0.961,21.214
2026-06-07 16:59:57.935,4.738,14.493,1.475,20.706
2026-06-07 16:59:57.981,5.174,14.515,1.497,21.187
2026-06-07 16:59:58.027,4.942,14.842,0.808,20.592
2026-06-07 16:59:58.076,4.855,14.377,1.485,20.717
2026-06-07 16:59:58.124,4.760,14.182,0.860,19.802
2026-06-07 16:59:58.172,4.776,15.884,1.700,22.361
2026-06-07 16:59:58.207,4.871,17.187,1.473,23.532
2026-06-07 16:59:58.252,5.325,16.822,0.804,22.951
2026-06-07 16:59:58.301,5.109,18.660,1.463,25.233
2026-06-07 16:59:58.348,4.894,16.974,1.451,23.319
2026-06-07 16:59:58.393,4.804,16.929,0.815,22.549
2026-06-07 16:59:58.443,5.000,17.964,1.619,24.582
2026-06-07 16:59:58.476,4.884,17.748,1.461,24.094
2026-06-07 16:59:58.520,4.779,17.166,0.893,22.838
2026-06-07 16:59:58.558,4.819,18.261,1.465,24.546
2026-06-07 16:59:58.599,4.851,14.528,1.492,20.871
2026-06-07 16:59:58.646,4.907,14.647,1.394,20.949
2026-06-07 16:59:58.678,4.857,14.982,1.481,21.320
2026-06-07 16:59:58.726,4.755,14.569,1.459,20.784
2026-06-07 16:59:58.773,5.366,15.313,0.899,21.578
2026-06-07 16:59:58.806,4.891,14.952,1.462,21.305
2026-06-07 16:59:58.852,4.834,14.383,1.458,20.676
2026-06-07 16:59:58.899,4.727,14.700,0.846,20.273
2026-06-07 16:59:58.949,5.029,15.106,1.480,21.615
2026-06-07 16:59:58.996,4.801,14.380,1.744,20.925
2026-06-07 16:59:59.027,4.763,14.270,0.793,19.826
2026-06-07 16:59:59.075,4.829,15.299,1.460,21.587
2026-06-07 16:59:59.122,4.744,14.275,1.495,20.514
2026-06-07 16:59:59.169,4.765,14.553,0.905,20.224
2026-06-07 16:59:59.203,4.877,15.485,1.566,21.929
2026-06-07 16:59:59.235,4.968,14.557,0.879,20.404
2026-06-07 16:59:59.266,5.296,14.576,1.467,21.339
2026-06-07 16:59:59.314,4.863,15.577,1.456,21.896
2026-06-07 16:59:59.363,5.309,14.351,0.815,20.476
2026-06-07 16:59:59.409,4.764,14.408,1.476,20.647
2026-06-07 16:59:59.459,4.816,15.211,1.481,21.509
2026-06-07 16:59:59.501,4.749,14.429,0.863,20.042
2026-06-07 16:59:59.536,4.715,14.666,1.472,20.854
2026-06-07 16:59:59.581,4.837,15.094,1.454,21.386
2026-06-07 16:59:59.631,4.782,14.403,0.818,20.003
2026-06-07 16:59:59.679,6.131,14.385,1.502,22.019
2026-06-07 16:59:59.726,4.934,15.244,1.442,21.620
2026-06-07 16:59:59.772,5.210,15.306,0.865,21.381
2026-06-07 16:59:59.808,4.762,14.859,1.614,21.236
2026-06-07 16:59:59.840,4.939,15.099,1.452,21.490
2026-06-07 16:59:59.884,5.050,14.509,0.806,20.366
2026-06-07 16:59:59.933,4.774,14.486,1.463,20.724
2026-06-07 16:59:59.980,4.993,14.790,1.506,21.289
2026-06-07 17:00:00.030,4.863,16.241,0.932,22.037
2026-06-07 17:00:00.076,4.834,14.715,1.464,21.014
2026-06-07 17:00:00.124,4.995,15.159,1.466,21.621
2026-06-07 17:00:00.169,4.805,14.453,0.804,20.062
2026-06-07 17:00:00.218,4.748,14.371,1.466,20.586
2026-06-07 17:00:00.263,5.023,14.855,0.899,20.778
2026-06-07 17:00:00.314,4.805,14.477,1.677,20.960
2026-06-07 17:00:00.347,4.904,14.318,1.446,20.668
2026-06-07 17:00:00.396,5.584,17.767,0.790,24.141
2026-06-07 17:00:00.443,4.849,17.072,1.467,23.389
2026-06-07 17:00:00.491,4.755,17.103,1.449,23.307
2026-06-07 17:00:00.539,5.006,17.993,0.846,23.845
2026-06-07 17:00:00.587,4.756,17.911,1.482,24.149
2026-06-07 17:00:00.635,4.923,17.366,1.447,23.737
2026-06-07 17:00:00.682,4.836,18.022,0.821,23.679
2026-06-07 17:00:00.730,4.906,17.529,1.669,24.103
2026-06-07 17:00:00.763,4.749,17.096,1.645,23.490
2026-06-07 17:00:00.793,4.871,15.909,0.802,21.582
2026-06-07 17:00:00.839,4.862,14.693,1.447,21.002
2026-06-07 17:00:00.886,4.951,14.674,1.448,21.073
2026-06-07 17:00:00.935,5.228,15.843,0.845,21.916
2026-06-07 17:00:00.982,4.766,14.857,1.661,21.285
2026-06-07 17:00:01.015,4.736,14.679,1.448,20.863
2026-06-07 17:00:01.059,4.949,15.516,0.799,21.265
2026-06-07 17:00:01.108,4.857,14.650,1.488,20.996
2026-06-07 17:00:01.156,4.857,14.776,1.492,21.125
2026-06-07 17:00:01.202,4.903,15.693,0.799,21.396
2026-06-07 17:00:01.252,4.931,14.676,1.488,21.096
2026-06-07 17:00:01.299,4.847,15.046,0.866,20.760
2026-06-07 17:00:01.348,4.832,15.947,1.462,22.241
2026-06-07 17:00:01.394,4.866,14.775,1.484,21.125
