Timestamp,PreprocessMs,InferenceMs,PostprocessMs,TotalMs
2026-06-07 18:05:44.207,4.778,13.261,1.576,19.616
2026-06-07 18:05:44.309,5.175,14.508,0.826,20.509
2026-06-07 18:05:44.409,4.834,13.983,1.448,20.266
2026-06-07 18:05:44.437,4.630,14.320,1.295,20.245
2026-06-07 18:05:44.508,4.739,13.381,1.153,19.273
2026-06-07 18:05:44.536,4.736,14.106,1.311,20.153
2026-06-07 18:05:44.609,4.943,13.487,1.282,19.712
2026-06-07 18:05:44.710,4.832,13.758,1.024,19.614
2026-06-07 18:05:44.741,5.779,14.073,1.404,21.258
2026-06-07 18:05:44.815,7.117,13.597,1.356,22.070
2026-06-07 18:05:44.911,4.652,13.792,0.982,19.427
2026-06-07 18:05:44.941,5.089,13.891,1.504,20.485
2026-06-07 18:05:45.011,4.831,13.612,0.943,19.387
2026-06-07 18:05:45.115,4.780,13.821,1.724,20.326
2026-06-07 18:05:45.146,4.759,14.565,1.329,20.654
2026-06-07 18:05:45.214,4.875,13.748,0.796,19.419
2026-06-07 18:05:45.314,5.416,14.009,1.811,21.237
2026-06-07 18:05:45.343,4.796,14.251,1.308,20.354
2026-06-07 18:05:45.502,4.736,14.043,0.828,19.608
2026-06-07 18:05:45.527,4.471,13.787,1.373,19.630
2026-06-07 18:05:45.604,4.726,14.427,1.443,20.596
2026-06-07 18:05:45.631,4.883,13.852,0.803,19.539
2026-06-07 18:05:45.688,4.700,13.249,1.337,19.286
2026-06-07 18:05:45.789,5.574,14.755,1.415,21.744
2026-06-07 18:05:45.814,4.706,13.787,0.807,19.301
2026-06-07 18:05:45.891,4.615,13.302,1.385,19.303
2026-06-07 18:05:45.986,4.650,14.012,1.291,19.954
2026-06-07 18:05:46.104,4.779,14.346,0.848,19.973
2026-06-07 18:05:46.130,4.720,14.242,1.258,20.221
2026-06-07 18:05:46.194,4.906,14.072,1.365,20.343
2026-06-07 18:05:46.220,4.879,14.346,0.829,20.055
2026-06-07 18:05:46.296,7.418,15.520,1.665,24.603
2026-06-07 18:05:46.393,5.139,13.703,1.798,20.640
2026-06-07 18:05:46.417,5.330,14.393,0.975,20.698
2026-06-07 18:05:46.499,5.185,13.895,1.778,20.858
2026-06-07 18:05:46.598,4.897,13.884,6.625,25.406
2026-06-07 18:05:46.620,4.275,12.572,0.842,17.689
2026-06-07 18:05:46.700,4.673,14.163,1.323,20.160
2026-06-07 18:05:46.801,4.958,14.021,1.422,20.402
